crate_id,inspected_at,line_no,line_name,shift,expected_sku,expected_sku_name,expected_qty,detected_sku,detected_qty,contamination_sku,verdict,confidence,destination_store
CRT-20260416-0001,2026-04-16 06:15:14,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,92,강남점
CRT-20260416-0002,2026-04-16 14:01:05,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,99,분당점
CRT-20260416-0003,2026-04-16 16:14:28,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,91,홍대점
CRT-20260416-0004,2026-04-16 15:17:09,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,96,홍대점
CRT-20260416-0005,2026-04-16 08:38:16,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,98,홍대점
CRT-20260416-0006,2026-04-16 07:53:40,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,96,강남점
CRT-20260416-0007,2026-04-16 07:49:18,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,94,일산점
CRT-20260416-0008,2026-04-16 10:10:23,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,95,강남점
CRT-20260416-0009,2026-04-16 14:34:46,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,98,분당점
CRT-20260416-0010,2026-04-16 15:14:52,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,96,강남점
CRT-20260416-0011,2026-04-16 09:13:41,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,98,분당점
CRT-20260416-0012,2026-04-16 09:47:37,LINE-1,메인 라인 1,day,SKU-001,버거킹 햄버거번,18,SKU-001,18,,OK,97,분당점
